Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
20191311I-2019-013393,MONMOUTH,EATONTOWN BORO,09/19/2019,TH,1444,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,2.03,02,,01,04,02,01,01,01,03,01,150,FE,W,DMV JUGHANDLE,,,,50,25,26,,,N,,117
20191311I-2019-013417,MONMOUTH,EATONTOWN BORO,09/20/2019,FR,0756,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,01,2,NJ 36,W,36,,00000036__,.89,02,,01,04,02,01,01,01,03,01,300,FE,E,GRANT AVE,,,,55,25,26,,,N,,102
20191311I-2019-013418,MONMOUTH,EATONTOWN BORO,09/20/2019,FR,0938,01,EATONTOWN PD,,0,2,0,0,I,I,N,N,03,2,NJ 71,E,71,,00000071__,15.79,02,,01,04,02,01,01,01,05,01,,AT,,ROUTE 547 / WYCKOFF RD,,,,35,40,26,,,N,,120
20191311I-2019-013465,MONMOUTH,EATONTOWN BORO,09/21/2019,SA,1927,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,14,1,NJ 35,N,35,,00000035__,30.35,02,,01,04,02,01,06,01,04,01,50,FE,S,SOUTH ST,,,,40,,21,,,N,DAMAGE TO BICYCLE OWNED BY TANYANIKA L RILEY-WASHINGTON  95 RICHARDSON AVENUE  ?,110
20191311I-2019-013513,MONMOUTH,EATONTOWN BORO,09/23/2019,MO,0839,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,1.28,02,,01,04,02,01,01,01,03,01,40,FE,E,ROUTE 547 / WYCKOFF RD,,,,50,40,26,,,N,,104
20191311I-2019-013548,MONMOUTH,EATONTOWN BORO,09/23/2019,MO,1543,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,2.03,02,,01,04,02,01,01,01,03,01,200,FE,E,DMV JUGHANDLE,,,,45,25,26,,,N,,117
20191311I-2019-013550,MONMOUTH,EATONTOWN BORO,09/23/2019,MO,1650,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,.89,02,,01,04,02,01,01,01,01,01,300,FE,E,GRANT AVE,,,,55,25,26,,,N,,117
20191311I-2019-013563,MONMOUTH,EATONTOWN BORO,09/23/2019,MO,2012,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 71,,71,,00000071__,16.77,02,,02,04,02,01,06,01,05,01,50,FE,S,NJ 35 / NEPTUNE BOULEVARD,,,,35,35,26,,,N,,107
20191311I-2019-013581,MONMOUTH,EATONTOWN BORO,09/24/2019,TU,0932,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,03,2,NJ 36,E,36,,00000036__,.83,02,,01,04,02,01,01,01,03,01,,AT,S,GRANT AVE,,,,55,25,26,,,N,,109
20191311I-2019-013627,MONMOUTH,EATONTOWN BORO,09/25/2019,WE,1020,01,EATONTOWN PD,,0,2,0,2,I,B,N,N,13,1,NJ 35,S,35,,00000035__,29.66,02,,01,04,02,01,01,01,05,01,75,FE,N,ROUTE 547 / WYCKOFF RD,,,,40,40,22,,,N,,102
20191311I-2019-013650,MONMOUTH,EATONTOWN BORO,09/25/2019,WE,1513,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,.03,02,,01,04,02,01,01,01,03,01,150,FE,E,CR 51 / HOPE RD,,,,55,50,26,,,N,,102
20191311I-2019-013710,MONMOUTH,EATONTOWN BORO,09/27/2019,FR,0729,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,02,2,ROUTE 537,W,537,,00000537__,64.08,05,,01,04,02,01,01,01,05,01,,AT,,MAXWELL RD,,,,35,25,26,,,N,,104
20191311I-2019-013714,MONMOUTH,EATONTOWN BORO,09/27/2019,FR,0810,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,06,2,RYERS PLACE,E,,,,,07,,01,04,02,01,01,01,05,01,10,FE,W,ELM PLACE,,,,25,25,26,,,N,,104
20191311I-2019-013861,MONMOUTH,EATONTOWN BORO,09/29/2019,SU,1844,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,12,1,NJ 35,N,35,,00000035__,30.85,02,,01,04,02,01,06,01,05,01,1000,FE,N,ROUTE 537 / TINTON AVE,,,,40,35,24,,,N,,122
20191311I-2019-013889,MONMOUTH,EATONTOWN BORO,09/30/2019,MO,1602,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,03,2,NJ 35,S,35,,00000035__,30.21,02,,01,04,02,01,01,01,05,01,,AT,,KREMER AVE,,,,30,25,26,,,N,,102
20191311I-2019-013890,MONMOUTH,EATONTOWN BORO,09/30/2019,MO,1603,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 547,S,547,,00000547__,27.26,05,,01,04,02,01,01,01,05,01,,AT,,SOUTH ST,,,,45,25,26,,,N,,120
20191311I-2019-013960,MONMOUTH,EATONTOWN BORO,10/02/2019,WE,1607,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,15,1,NJ 18,N,18,,00000018__,,02,,01,04,02,01,01,01,03,01,,,,,,,,55,,39,,,N,,117
20191311I-2019-013966,MONMOUTH,EATONTOWN BORO,10/02/2019,WE,1810,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,1.56,02,,01,04,02,01,01,01,03,01,100,FE,E,NJ 35 / NEPTUNE BLVD,,,,50,45,26,,,N,,117
20191311I-2019-013977,MONMOUTH,EATONTOWN BORO,10/03/2019,TH,0144,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,11,1,NJ 35,S,35,,00000035__,30.70,02,,02,04,02,02,06,01,04,01,200,FE,N,ROUTE 537 / TINTON AVE,,,,40,35,53,,,N,CVS LIGHT POLE,540
20191311I-2019-014033,MONMOUTH,EATONTOWN BORO,10/04/2019,FR,1412,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,11,1,ROUTE 547,N,547,,00000547__,27.98,05,,01,04,02,01,01,01,05,01,75,FE,S,ORCHARD LN,,,,45,25,56,,,N,UTILITY POLE,120
20191311I-2019-014035,MONMOUTH,EATONTOWN BORO,10/04/2019,FR,1456,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,02,2,NJ 35,S,35,,00000035__,30.21,02,,01,04,02,01,01,01,04,01,10,FE,N,KREMER AVE,,,,30,25,26,,,N,,102
20191311I-2019-014038,MONMOUTH,EATONTOWN BORO,10/04/2019,FR,1720,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,03,2,MONMOUTH COUNTY 32,E,32,,13000032__,,05,,01,04,02,01,01,01,05,01,100,FE,E,NJ 35,,,,35,40,26,,,N,,102
20191311I-2019-014053,MONMOUTH,EATONTOWN BORO,10/05/2019,SA,1023,01,EATONTOWN PD,EATONTOWN,0,1,0,0,I,B,N,N,03,2,MONMOUTH COUNTY 51,N,51,,13000051__,.85,05,,01,04,02,01,01,01,05,,200,FE,S,NJ 36 / GARDEN STATE PARKWAY SPUR,,,,50,55,26,,,N,,102
20191311I-2019-014086,MONMOUTH,EATONTOWN BORO,10/06/2019,SU,1643,01,EATONTOWN PD,,0,2,0,0,I,B,N,N,01,2,ROUTE 547,N,547,,00000547__,27.03,05,,01,04,02,01,01,01,02,01,250,FE,S,NJ 36,,,,40,50,26,,,N,,560
20191311I-2019-014099,MONMOUTH,EATONTOWN BORO,10/07/2019,MO,0558,01,EATONTOWN PD,EATONTOWN,0,1,0,0,I,I,N,N,03,2,MONMOUTH COUNTY 51,N,51,,13000051__,2.00,05,,01,04,02,01,06,01,05,01,,AT,N,ROUTE 537 / TINTON AVE,,,,40,40,26,,,N,,660
20191311I-2019-014142,MONMOUTH,EATONTOWN BORO,10/08/2019,TU,0640,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,07,2,ROUTE 537,E,537,,00000537__,64.49,05,,01,04,02,01,02,05,04,01,50,FE,W,NJ 35,,,,35,40,26,,,N,,123
20191311I-2019-014145,MONMOUTH,EATONTOWN BORO,10/08/2019,TU,0809,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,2.03,02,,01,04,02,01,01,05,03,01,216,FE,W,DMV JUGHANDLE,,,,50,25,26,,,N,,116
20191311I-2019-014146,MONMOUTH,EATONTOWN BORO,10/08/2019,TU,0845,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,05,3,MONMOUTH COUNTY 51,N,51,,13000051__,,07,,01,04,02,01,01,05,05,01,70,FE,N,INDUSTRIAL WAY WEST,,,,40,45,26,,,N,,116
20191311I-2019-014187,MONMOUTH,EATONTOWN BORO,10/09/2019,WE,0838,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,07,3,NJ 71,E,71,,00000071__,15.73,02,,01,04,02,02,01,02,05,01,,AT,,ETON PL / MAIN ST,,,,35,25,26,,,N,,120
20191311I-2019-014201,MONMOUTH,EATONTOWN BORO,10/09/2019,WE,1846,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,01,2,MONMOUTH COUNTY 51,,51,,13000051__,.88,05,,01,04,02,02,06,01,05,01,50,FE,S,NJ 36 / GARDEN STATE PARKWAY SPUR,,,,50,55,26,,,N,,110
20191311I-2019-014210,MONMOUTH,EATONTOWN BORO,10/10/2019,TH,0802,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,MONMOUTH COUNTY 51,N,51,,13000051__,.87,05,,01,04,02,01,01,01,05,01,100,FE,S,NJ 36 / GARDEN STATE PARKWAY SPUR,,,,50,55,26,,,N,,102
20191311I-2019-014225,MONMOUTH,EATONTOWN BORO,10/10/2019,TH,1511,01,EATONTOWN PD,,0,2,0,0,I,B,N,N,01,2,ROUTE 547,,547,,00000547__,28.29,05,,01,04,02,01,01,01,05,01,5,FE,S,NJ 71 / ROUTE 537 / BROAD ST,,,,40,35,26,,,N,,102
20191311I-2019-014235,MONMOUTH,EATONTOWN BORO,10/10/2019,TH,2305,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,02,2,NJ 35,,35,,00000035__,29.39,02,,01,04,02,01,06,01,01,01,,AT,,NJ 36,,,,50,50,26,,,N,,110
20191311I-2019-014254,MONMOUTH,EATONTOWN BORO,10/11/2019,FR,1650,01,EATONTOWN PD,,0,3,0,0,I,B,N,N,04,3,NJ 35,N,35,,00000035__,30.42,02,,01,04,02,01,01,01,05,01,100,FE,S,NJ 71 / ROUTE 537 / BROAD ST,,,,40,30,26,,,N,,103
20191311I-2019-014259,MONMOUTH,EATONTOWN BORO,10/11/2019,FR,1848,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,1.18,02,,01,04,02,01,07,01,03,01,500,FE,W,ROUTE 547 / WYCKOFF RD,,,,55,45,26,,,N,,117
20191311I-2019-014336,MONMOUTH,EATONTOWN BORO,10/13/2019,SU,1406,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,01,2,NJ 35,N,35,,00000035__,29.00,02,,01,04,02,01,01,01,01,01,10,FE,S,MALL JUGHANDLE,,,,45,25,26,,,N,,123
20191311I-2019-014371,MONMOUTH,EATONTOWN BORO,10/14/2019,MO,1150,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,02,2,ROUTE 547,S,547,,00000547__,27.38,05,,01,04,02,01,01,01,04,01,30,FE,N,NJ 35,,,,35,40,26,,,N,,121
20191311I-2019-014428,MONMOUTH,EATONTOWN BORO,10/15/2019,TU,1240,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,02,2,NJ 71,N,71,,00000071__,15.73,02,,01,04,02,01,01,01,05,01,,AT,,ETON PL / MAIN ST,,,,35,25,26,,,N,,110
20191311I-2019-014439,MONMOUTH,EATONTOWN BORO,10/15/2019,TU,1655,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,11,1,NJ 36,E,36,,00000036__,.00,02,,01,04,02,01,01,01,01,01,500,FE,W,CR 51 / HOPE RD,,,,55,50,60,,,N,,121
20191311I-2019-014441,MONMOUTH,EATONTOWN BORO,10/15/2019,TU,1856,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,GRANT AVENUE,,,,,,07,,01,04,02,01,06,01,05,01,200,FE,N,NJ 36,,,,25,50,26,,,N,,120
20191311I-2019-014463,MONMOUTH,EATONTOWN BORO,10/16/2019,WE,0832,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,ROUTE 547,N,547,,00000547__,27.10,05,,01,04,02,01,01,05,04,01,100,FE,N,NJ 36,,,,35,50,26,,,N,,125
20191311I-2019-014465,MONMOUTH,EATONTOWN BORO,10/16/2019,WE,0856,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,03,2,NJ 35,,35,,00000035__,29.39,02,,01,04,02,01,01,01,01,01,,AT,,NJ 36,,,,45,50,26,,,N,,116
20191311I-2019-014469,MONMOUTH,EATONTOWN BORO,10/16/2019,WE,1012,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,02,2,NJ 36,E,36,,00000036__,.00,02,,03,04,02,01,01,01,03,01,,,,,F,CR 51 / HOPE ROAD,,55,,26,,,N,,116
20191311I-2019-014584,MONMOUTH,EATONTOWN BORO,10/18/2019,FR,1111,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 547,W,547,,00000547__,27.37,05,,01,04,02,01,01,01,05,01,15,FE,E,NJ 35,,,,40,40,26,,,N,,660
20191311I-2019-014596,MONMOUTH,EATONTOWN BORO,10/18/2019,FR,1741,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,03,2,NJ 35,N,35,,00000035__,30.10,02,,01,04,02,01,01,01,04,01,200,FE,N,CLINTON AVE,,,,40,25,26,,,N,,119
20191311I-2019-014625,MONMOUTH,EATONTOWN BORO,10/19/2019,SA,0626,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,03,2,NJ 35,E,35,,00000035__,30.44,02,,01,04,02,01,02,01,05,01,,AT,,NJ 71 / ROUTE 537 / BROAD ST,,,,35,30,26,,,N,,120
20191311I-2019-014664,MONMOUTH,EATONTOWN BORO,10/20/2019,SU,0241,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,12,1,NJ 35,N,35,,00000035__,28.39,02,,01,04,02,01,06,01,02,01,300,FE,N,INDUSTRIAL WAY,,,,50,40,24,,,N,,122
20191311I-2019-014678,MONMOUTH,EATONTOWN BORO,10/20/2019,SU,1853,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,02,2,ROUTE 547,S,547,,00000547__,27.16,05,,01,04,02,02,06,02,02,01,100,FE,N,LAUREL PL,,,,35,25,26,,,N,,108
20191311I-2019-014734,MONMOUTH,EATONTOWN BORO,10/21/2019,MO,2340,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,12,1,NJ 18,S,18,,00000018__,13.00,02,,01,04,02,01,07,01,01,01,,,,,,,,55,,24,,,N,,117
20191311I-2019-014769,MONMOUTH,EATONTOWN BORO,10/22/2019,TU,1704,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,11,1,NJ 36,W,36,,00000036__,1.27,02,,01,04,02,02,03,02,01,01,,,,ROUTE 547 / WYCKOFF RD,,,,55,35,99,,,N,,116
20191311I-2019-014773,MONMOUTH,EATONTOWN BORO,10/22/2019,TU,1844,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 35,N,35,,00000035__,29.39,02,,03,04,02,02,07,02,05,01,,,,,T,NJ 36,EB,40,,26,,,N,,107
20191311I-2019-014796,MONMOUTH,EATONTOWN BORO,10/23/2019,WE,0650,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,1.24,02,,01,04,02,02,02,01,01,01,182,FE,W,ROUTE 547 / WYCKOFF RD,,,,55,35,26,,,N,,116
20191311I-2019-014797,MONMOUTH,EATONTOWN BORO,10/23/2019,WE,0705,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,02,2,NJ 36,E,36,,00000036__,1.24,02,,01,04,02,01,01,01,03,01,150,FE,W,ROUTE 547 / WYCKOFF RD,,,,50,40,26,,,N,,660
20191311I-2019-014829,MONMOUTH,EATONTOWN BORO,10/23/2019,WE,1528,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,01,2,NJ 36,W,36,,00000036__,2.08,02,,01,04,02,01,01,01,03,01,200,FE,E,DMV JUGHANDLE,,,,50,35,26,,,N,,660
20191311I-2019-014834,MONMOUTH,EATONTOWN BORO,10/23/2019,WE,1743,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,ROUTE 537,W,537,,00000537__,63.56,05,,01,04,02,01,03,01,05,01,111,FE,E,CR 51 / HOPE RD,,,,35,50,26,,,N,,116
20191311I-2019-014837,MONMOUTH,EATONTOWN BORO,10/23/2019,WE,1921,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,01,2,NJ 36,W,36,,00000036__,.85,02,,01,04,02,01,07,01,01,01,100,FE,E,GRANT AVE,,,,55,25,26,,,N,,560
20191311I-2019-014911,MONMOUTH,EATONTOWN BORO,10/25/2019,FR,1413,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,1.96,02,,01,04,02,01,01,01,03,01,367,FE,W,DMV JUGHANDLE,,,,50,25,26,,,N,,116
20191311I-2019-014921,MONMOUTH,EATONTOWN BORO,10/25/2019,FR,1850,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,1.45,02,,01,04,02,01,07,01,03,01,500,FE,W,NJ 35 / NEPTUNE BLVD,,,,55,40,26,,,N,,117
20191311I-2019-014955,MONMOUTH,EATONTOWN BORO,10/26/2019,SA,1015,01,EATONTOWN PD,,0,3,0,0,I,B,N,N,02,2,ROUTE 537,E,537,,00000537__,64.50,05,,01,04,02,01,01,01,01,01,300,FE,E,NJ 35,,,,35,35,26,,,N,,103
20191311I-2019-014983,MONMOUTH,EATONTOWN BORO,10/26/2019,SA,1628,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,.85,02,,01,04,02,01,01,01,01,01,125,FE,E,GRANT AVE,,,,50,25,26,,,N,,103
20191311I-2019-015059,MONMOUTH,EATONTOWN BORO,10/28/2019,MO,1730,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,01,2,NJ 36,W,36,,00000036__,2.07,02,,01,04,02,01,01,01,03,01,200,FE,E,DMV JUGHANDLE,,,,50,,26,,,N,,660
20191311I-2019-015095,MONMOUTH,EATONTOWN BORO,10/29/2019,TU,1228,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,.92,02,,01,04,02,02,01,05,03,01,500,FE,E,GRANT AVE,,,,55,25,26,,,N,,111
20191311I-2019-015103,MONMOUTH,EATONTOWN BORO,10/29/2019,TU,1505,01,EATONTOWN PD,EATONTOWN,0,1,0,0,I,B,N,N,01,2,NJ 36,W,36,,00000036__,1.27,02,,01,04,02,02,01,02,03,01,20,FE,E,ROUTE 547 / WYCKOFF RD,,,,50,40,26,,,N,,111
20191311I-2019-015110,MONMOUTH,EATONTOWN BORO,10/29/2019,TU,1745,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 537,W,537,,00000537__,64.41,05,,01,04,02,02,06,02,04,01,30,FE,E,LAKE DR,,,,35,25,26,,,N,,119
20191311I-2019-015112,MONMOUTH,EATONTOWN BORO,10/29/2019,TU,1825,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,.85,02,,01,04,02,02,07,02,01,01,100,FE,E,GRANT AVE,,,,55,25,26,,,N,,106
20191311I-2019-015113,MONMOUTH,EATONTOWN BORO,10/29/2019,TU,1826,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,05,2,NJ 18,S,18,,00000018__,13.27,02,,01,04,02,02,06,02,03,01,1000,FE,S,ROUTE 547 / WYCKOFF RD,,,,55,40,26,,,N,,111
20191311I-2019-015134,MONMOUTH,EATONTOWN BORO,10/30/2019,WE,0819,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,03,2,ROUTE 547,N,547,,00000547__,27.33,05,,01,04,02,02,01,02,04,01,200,FE,S,NJ 35,,,,35,40,26,,,N,,107
20191311I-2019-015171,MONMOUTH,EATONTOWN BORO,10/30/2019,WE,1535,01,EATONTOWN PD,,0,2,0,0,I,B,N,N,01,4,NJ 36,E,36,,00000036__,.81,02,,01,04,02,01,01,02,03,01,100,FE,W,GRANT AVE,,,,55,25,26,,,N,,107
20191311I-2019-015176,MONMOUTH,EATONTOWN BORO,10/30/2019,WE,1844,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,02,3,NJ 35,S,35,,00000035__,29.63,02,,01,04,02,01,07,01,05,01,100,FE,S,ROUTE 547 / WYCKOFF RD,,,,40,40,26,,,N,,117
20191311I-2019-015222,MONMOUTH,EATONTOWN BORO,10/31/2019,TH,1349,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,12,1,INDUSTRIAL WAY W,W,,,13111111__,,07,,01,04,02,01,01,05,05,01,,,,,,,,45,,24,,,N,,116
20191311I-2019-015287,MONMOUTH,EATONTOWN BORO,11/01/2019,FR,1415,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,ROUTE 547,S,547,,00000547__,25.69,05,,01,04,02,01,01,01,05,01,5,FE,N,CR 51 / HOPE RD,,,,40,50,26,,,N,,111
20191311I-2019-015302,MONMOUTH,EATONTOWN BORO,11/01/2019,FR,2208,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,12,1,MONMOUTH COUNTY 32,W,32,,13000032__,.85,05,,01,04,02,01,05,01,05,01,449,FE,W,ROZBERT DR,,,,40,25,24,,,N,,120
20191311I-2019-015326,MONMOUTH,EATONTOWN BORO,11/02/2019,SA,1342,01,EATONTOWN PD,,0,1,0,0,I,I,N,N,03,4,NJ 36,E,36,,00000036__,1.27,02,,01,04,02,01,01,01,03,01,,AT,,ROUTE 547 / WYCKOFF RD,,,,55,35,26,,,N,,119
20191311I-2019-015379,MONMOUTH,EATONTOWN BORO,11/03/2019,SU,1719,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,2.03,02,,01,04,02,01,06,01,05,01,25,FE,E,DMV JUG HANDLE,,,,50,25,26,,,N,,111
20191311I-2019-015393,MONMOUTH,EATONTOWN BORO,11/04/2019,MO,0857,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,02,2,NJ 36,E,36,,00000036__,.83,02,,01,04,02,01,01,01,03,01,20,FE,W,GRANT AVE,,,,55,25,26,,,N,,109
20191311I-2019-015401,MONMOUTH,EATONTOWN BORO,11/04/2019,MO,1119,01,EATONTOWN PD,,0,2,0,0,I,I,N,N,03,3,NJ 35,S,35,,00000035__,29.65,02,,01,04,02,01,01,01,04,01,,AT,,ROUTE 547 / WYCKOFF RD,,,,40,40,26,,,N,,109
20191311I-2019-015403,MONMOUTH,EATONTOWN BORO,11/04/2019,MO,1130,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,11,1,NJ 35,S,35,,00000035__,30.06,02,,01,04,02,01,01,01,04,01,10,FE,S,CLINTON AVE,,,,40,25,69,,,N,AN ELECTRICAL BOX THAT CONTROLS THE TRAFFIC SIGNAL WAS DAMAGED AS A RESULT OF T?,109
20191311I-2019-015406,MONMOUTH,EATONTOWN BORO,11/04/2019,MO,1207,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,2.01,02,,01,04,02,01,01,01,03,01,100,FE,W,DMW JUG HANDLE,,,,50,25,26,,,N,,122
20191311I-2019-015458,MONMOUTH,EATONTOWN BORO,11/05/2019,TU,0745,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,2.07,02,,01,04,02,01,01,01,03,01,200,FE,E,DMV JUG HANDLE,,,,50,25,26,,,N,,122
20191311I-2019-015459,MONMOUTH,EATONTOWN BORO,11/05/2019,TU,0749,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,2.05,02,,01,04,02,01,01,01,03,01,100,FE,E,DMV JUGHANDLE,,,,45,25,26,,,N,,117
20191311I-2019-015470,MONMOUTH,EATONTOWN BORO,11/05/2019,TU,1451,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,15,2,NJ 18,N,18,,00000018__,13.82,02,,01,04,02,01,01,01,01,01,50,FE,S,NJ 36,,,,55,,30,,,N,,121
20191311I-2019-015476,MONMOUTH,EATONTOWN BORO,11/05/2019,TU,1715,01,EATONTOWN PD,EATONTOWN,0,0,0,0,P,B,N,N,12,1,ROUTE 547,S,547,,00000547__,25.96,05,,01,04,02,01,07,01,05,01,100,FE,S,WALTER AVE,,,,40,25,24,,,N,,117
20191311I-2019-015524,MONMOUTH,EATONTOWN BORO,11/06/2019,WE,1446,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,W,36,,00000036__,1.29,02,,01,04,02,01,01,01,03,01,100,FE,E,ROUTE 547 / WYCKOFF RD,,,,50,35,26,,,N,,106
20191311I-2019-015526,MONMOUTH,EATONTOWN BORO,11/06/2019,WE,1525,01,EATONTOWN PD,,0,0,0,0,P,I,N,N,03,2,NJ 35,S,35,,00000035__,30.00,02,,01,04,02,01,01,01,05,01,,AT,,LOWES HOME IMPROVEMENT ENTRANCE,,,,40,25,26,,,N,,660
20191311I-2019-015539,MONMOUTH,EATONTOWN BORO,11/06/2019,WE,1751,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,02,2,NJ 36,E,36,,00000036__,.74,02,,01,04,02,01,06,01,01,01,500,FE,W,GRANT AVE,,,,55,25,26,,,N,,121
20191311I-2019-015561,MONMOUTH,EATONTOWN BORO,11/07/2019,TH,1029,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,NJ 36,E,36,,00000036__,1.52,02,,01,04,02,01,01,01,03,01,100,FE,W,NJ 35 / NEPTUNE BLVD,,,,50,40,26,,,N,,660
20191311I-2019-015580,MONMOUTH,EATONTOWN BORO,11/07/2019,TH,1754,01,EATONTOWN PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 547,N,547,,00000547__,27.04,05,,01,04,02,02,07,02,02,01,200,FE,S,NJ 36,,,,40,50,26,,,N,,560
20191311I-2019-015613,MONMOUTH,EATONTOWN BORO,11/08/2019,FR,1350,01,EATONTOWN PD,,0,1,0,0,I,B,N,N,01,2,NJ 35,S,35,,00000035__,28.33,02,,01,04,02,01,01,01,01,01,,,,,T,INDUSTRIAL WAY WEST,EB,50,,26,,,N,,109
