Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2020130320AP16309,MONMOUTH,ASBURY PARK CITY,07/24/2020,FR,1953,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,GRAND AVE **,S,,,13031048__,.47,07,,01,04,02,01,01,01,04,01,,AT,W,THIRD AVE,,,,25,25,26,40.222600,74.006240,N,,83278
2020130320AP16385,MONMOUTH,ASBURY PARK CITY,07/25/2020,SA,1727,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,02,2,MONMOUTH COUNTY 40 A,N,40,A,13000040A_,.10,07,,02,04,02,01,01,01,04,01,,AT,E,BANGS AVE,,,,30,25,26,40.217690,74.014120,N,,83276
2020130320AP16392,MONMOUTH,ASBURY PARK CITY,07/25/2020,SA,1826,01,ASBURY PARK PD,APPD,0,0,0,0,P,B,N,N,08,2,2ND AVE / SECOND ST **,W,,,13031002__,.21,07,,01,04,02,01,01,01,,,100,FE,E,BERGH ST,,,,25,25,26,,,N,,83282
2020130320AP16445,MONMOUTH,ASBURY PARK CITY,07/26/2020,SU,0043,01,ASBURY PARK PD,,0,1,0,0,I,B,N,N,06,2,SUMMERFIELD AVE **,W,,,13031055__,.14,07,,01,04,02,01,06,01,05,01,100,FE,E,DEWIIT AVE,,,,25,25,28,40.219450,74.022180,N,,83270
2020130320AP16447,MONMOUTH,ASBURY PARK CITY,07/26/2020,SU,0058,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,CHURCH ST / JERSEY ST **,W,,,13031030__,.14,07,,01,04,02,01,06,01,,,5,FE,W,MUNROE AVE / PROSPECT AVE,,,,25,25,26,,,N,,83289
2020130320AP16475,MONMOUTH,ASBURY PARK CITY,07/26/2020,SU,1321,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,02,2,MEMORIAL DR,S,,,13031009__,.30,07,,01,04,02,01,01,01,04,01,,AT,,4TH AVE,,,,30,30,26,40.224870,74.011550,N,,83219
2020130320AP16478,MONMOUTH,ASBURY PARK CITY,07/26/2020,SU,1357,01,ASBURY PARK PD,PATROL DIVISION,0,0,0,0,P,B,N,N,06,2,RIDGE AVE / WICKAPECKO DR,N,,,13371419__,2.29,07,,01,04,02,01,01,01,05,01,75,FE,N,SPRINGWOOD AVE,,,,25,25,28,40.216340,74.024470,N,,83287
2020130320AP16523,MONMOUTH,ASBURY PARK CITY,07/26/2020,SU,2334,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,4,SUMMERFIELD AVE,W,,,,,07,,01,04,01,01,06,01,,,,,,,,,,25,,26,40.219370,74.022750,N,,
2020130320AP16567,MONMOUTH,ASBURY PARK CITY,07/27/2020,MO,1304,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,EMORY ST / PRESS PLAZA **,N,,,13031037__,.06,07,,01,04,02,01,01,01,,01,3,FE,N,COOKMAN AVE / MATTISON AVE,,,,25,25,28,40.216490,74.010210,N,,83287
2020130320AP16602,MONMOUTH,ASBURY PARK CITY,07/27/2020,MO,1857,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,07,2,SPRINGWOOD AVE / W LAKE AVE **,,,,13341045__,1.07,07,,01,04,02,01,01,01,05,01,,AT,,BORDEN AVE,,,,25,25,,40.215150,74.022020,N,,83290
2020130320AP16757,MONMOUTH,ASBURY PARK CITY,07/29/2020,WE,1137,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,MEMORIAL DR,S,,,13031009__,.15,07,,01,04,02,01,01,01,04,01,,AT,,2ND AVE,,,,30,25,26,40.222750,74.012320,N,,83207
2020130320AP16777,MONMOUTH,ASBURY PARK CITY,07/29/2020,WE,1533,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,MATTISON AVE **,N,,,13031070__,.06,07,,01,04,02,01,06,01,05,,10,FE,W,BOND ST,,,,25,25,28,40.223730,74.000770,N,,83185
2020130320AP16798,MONMOUTH,ASBURY PARK CITY,07/29/2020,WE,1851,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,ASBURY AVE **,W,,,13031091__,.15,07,,01,04,02,01,01,01,04,01,,AT,,EMORY ST,,,,25,25,26,,,N,,83246
2020130320AP16799,MONMOUTH,ASBURY PARK CITY,07/29/2020,WE,1855,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,03,2,FOURTH AVE **,W,,,13031003__,1.14,07,,01,04,02,01,01,01,,,,AT,,GRAND AVE,,,,25,25,,40.223670,74.005860,N,,83210
2020130320AP16872,MONMOUTH,ASBURY PARK CITY,07/30/2020,TH,1530,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,SPRINGWOOD AVE / W LAKE AVE **,W,,,13341045__,.92,07,,01,04,02,01,01,01,05,01,50,FE,W,RIDGE AVE,,,,25,25,,,,N,,83131
2020130320AP16979,MONMOUTH,ASBURY PARK CITY,07/31/2020,FR,1829,01,ASBURY PARK PD,PATROL DIVISION,0,0,0,0,P,I,N,N,03,2,MEMORIAL DR,S,,,13031009__,.07,07,,01,04,02,01,01,01,05,01,,AT,,1ST AVE,,,,30,25,26,40.221700,74.012700,N,,83026
2020130320AP17036,MONMOUTH,ASBURY PARK CITY,08/01/2020,SA,1107,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,PINE ST **,S,,,13031007__,.00,07,,01,04,02,01,01,01,,01,5,FE,S,CR 16 / ASBURY AVE,,,,25,25,26,40.221930,74.019200,N,,83287
2020130320AP17054,MONMOUTH,ASBURY PARK CITY,08/01/2020,SA,1544,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,PROSPECT AVE **,S,,,13031042__,.32,07,,01,04,02,01,01,01,,01,,AT,,SEWALL AVE,,,,25,25,26,40.222090,74.022440,N,,83287
2020130320AP17065,MONMOUTH,ASBURY PARK CITY,08/01/2020,SA,1711,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,06,2,NJ 71,N,71,,00000071__,8.04,02,,01,04,02,01,01,01,04,01,,AT,,COOKMAN AVE,,,,30,25,26,,,N,,83276
2020130320AP17075,MONMOUTH,ASBURY PARK CITY,08/01/2020,SA,1906,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,03,2,GRAND AVE **,N,,,13031048__,.54,07,,01,04,02,01,01,01,04,01,,AT,,FOURTH AVE,,,,25,25,26,40.223660,74.005860,N,,83266
2020130320AP17150,MONMOUTH,ASBURY PARK CITY,08/02/2020,SU,1417,01,ASBURY PARK PD,PATROL DIVISION,0,0,0,0,P,B,N,N,02,2,MONMOUTH COUNTY 16,E,16,,13000016__,6.15,05,,01,04,02,01,01,01,04,,1,FE,W,MEMORIAL DR,,,,25,,26,40.220640,74.013080,N,,83287
2020130320AP17152,MONMOUTH,ASBURY PARK CITY,08/02/2020,SU,1428,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,01,2,7TH AVE / SEVENTH AVE / STEINER PL **,W,,,13031018__,.59,07,,01,04,02,01,01,01,05,01,15,FE,E,NJ 71 / MAIN ST,,,,25,25,26,,,N,,83226
2020130320AP17216,MONMOUTH,ASBURY PARK CITY,08/03/2020,MO,1036,01,ASBURY PARK PD,,0,1,0,0,I,B,N,N,01,2,NJ 71,N,71,,00000071__,8.65,02,,01,,02,01,01,01,05,01,25,FE,S,4TH AVE,,,,30,30,,40.224600,74.010280,N,,83210
2020130320AP17234,MONMOUTH,ASBURY PARK CITY,08/03/2020,MO,1351,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,BERGH ST **,N,,,13031050__,.01,07,,01,04,02,01,01,01,05,01,75,FE,N,ASBURY AVE,,,,25,25,28,40.219920,74.004330,N,,83221
2020130320AP17272,MONMOUTH,ASBURY PARK CITY,08/03/2020,MO,2045,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,BANGS AVE,W,,,13031083__,.02,07,,01,04,02,01,07,01,04,,50,FE,W,RIDGE AVE,,,,25,,26,,,N,,83246
2020130320AP17406,MONMOUTH,ASBURY PARK CITY,08/05/2020,WE,1048,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,PROSPECT AVE **,,,,13031042__,.62,07,,01,04,02,01,01,01,05,01,10,FE,S,BANGS AVE,,,,25,25,28,40.218610,74.018500,N,,83221
2020130320AP17425,MONMOUTH,ASBURY PARK CITY,08/05/2020,WE,1416,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,3,FIFTH AVE **,E,,,13031004__,.75,07,,01,04,02,01,01,01,05,01,50,FE,E,LANGFORD ST,,,,25,25,28,40.226440,74.013550,N,,
2020130320AP17438,MONMOUTH,ASBURY PARK CITY,08/05/2020,WE,1635,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,02,2,NJ 71,S,71,,00000071__,8.73,02,,01,04,02,01,01,,04,01,25,FE,S,5TH AVE,,,,30,25,28,,,N,,83204
2020130320AP17445,MONMOUTH,ASBURY PARK CITY,08/05/2020,WE,1819,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,01,2,MEMORIAL DR,N,,,13031009__,.00,07,,01,04,02,01,01,01,04,,,AT,,CR 16 / ASBURY AVE,,,,30,25,26,40.220640,74.013080,N,,83278
2020130320AP17484,MONMOUTH,ASBURY PARK CITY,08/06/2020,TH,0253,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,06,3,COMSTOCK ST **,W,,,13031012__,.85,07,,01,04,02,01,06,01,,,,AT,,MATTISON AVE / PROSPECT AVE,,,,25,25,26,,,N,,83281
2020130320AP17493,MONMOUTH,ASBURY PARK CITY,08/06/2020,TH,0922,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,GRAND AVE **,S,,,13031048__,.31,07,,01,04,02,02,01,02,04,01,,AT,,FIRST AVE,,,,25,25,26,,,N,,83272
2020130320AP17511,MONMOUTH,ASBURY PARK CITY,08/06/2020,TH,1314,01,ASBURY PARK PD,,0,2,0,0,I,I,N,N,03,2,GRAND AVE **,S,,,13031048__,.73,07,,01,04,02,01,01,01,,01,,AT,,SUNSET AVE,,,,25,25,26,40.226330,74.004950,N,,83207
2020130320AP17518,MONMOUTH,ASBURY PARK CITY,08/06/2020,TH,1438,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,01,2,SPRINGWOOD AVE / W LAKE AVE **,S,,,13341045__,1.41,07,,01,04,02,01,01,01,,,25,FE,E,CR 40A / MEMORIAL DR,,,,25,30,26,40.214820,74.016060,N,,83185
2020130320AP17581,MONMOUTH,ASBURY PARK CITY,08/07/2020,FR,0416,01,ASBURY PARK PD,APPD,0,0,0,0,P,B,N,N,10,3,CHURCH ST / JERSEY ST **,W,,,13031030__,.00,07,,01,04,02,01,07,01,04,01,25,FE,W,CR 16 / ASBURY AVE,,,,25,25,26,,,N,,
2020130320AP17583,MONMOUTH,ASBURY PARK CITY,08/07/2020,FR,0628,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,ATKINS AVE **,S,,,13031051__,.33,07,,01,04,02,01,06,01,05,01,20,FE,N,BOSTON WAY,,,,25,25,26,40.215630,74.020700,N,,83281
2020130320AP17708,MONMOUTH,ASBURY PARK CITY,08/08/2020,SA,1245,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,ATKINS AVENUE,,,,,,06,,01,04,01,01,01,01,,,100,FE,,MATTISON AVENUE,,,,25,25,26,40.216840,74.020540,N,,83243
2020130320AP17826,MONMOUTH,ASBURY PARK CITY,08/09/2020,SU,1505,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,BOSTON WAY **,W,,,13031072__,.15,07,,01,04,02,01,01,01,05,01,35,FE,E,SYLVAN AVE,,,,25,25,28,40.213470,74.018420,N,,83287
2020130320AP17847,MONMOUTH,ASBURY PARK CITY,08/09/2020,SU,1809,01,ASBURY PARK PD,,0,2,0,0,I,B,N,N,06,2,BORDEN AVENUE,S,,,,,07,,01,04,01,01,01,01,05,01,400,FE,N,SPRINGWOOD AVENUE,,,,25,25,26,40.216650,74.022060,N,,83280
2020130320AP17851,MONMOUTH,ASBURY PARK CITY,08/09/2020,SU,1920,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,ASBURY AVE **,W,,,13031091__,.00,07,,01,04,02,01,01,01,04,01,25,FE,W,NJ 71 / MAIN ST,,,,25,30,26,,,N,,83276
2020130320AP18008,MONMOUTH,ASBURY PARK CITY,08/11/2020,TU,1525,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,01,2,MONMOUTH COUNTY 40 A,N,40,A,13000040A_,.00,07,,01,04,02,01,01,05,,,,AT,,MUNROE AVE,,,,30,25,26,40.219160,74.013600,N,,83185
2020130320AP18235,MONMOUTH,ASBURY PARK CITY,08/13/2020,TH,1422,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,01,2,RIDGE AVE / WICKAPECKO DR,S,,,13371419__,2.02,07,,01,04,02,01,01,01,05,01,7,FE,N,BANGS AVE,,,,25,25,26,40.219080,74.024920,N,,83207
2020130320AP18441,MONMOUTH,ASBURY PARK CITY,08/15/2020,SA,1256,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,02,2,NJ 71,S,71,,00000071__,8.43,02,,01,04,02,01,01,01,,01,7,FE,S,1ST AVE,,,,30,25,26,40.220910,74.011620,N,,83207
2020130320AP18549,MONMOUTH,ASBURY PARK CITY,08/16/2020,SU,1345,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,SEWALL AVE **,E,,,13031039__,.09,07,,01,04,02,00,00,00,05,01,20,FE,W,GRAND AVE,,,,25,25,26,40.218850,74.008480,N,,83219
2020130320AP18825,MONMOUTH,ASBURY PARK CITY,08/19/2020,WE,1806,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,01,4,NJ 71,N,71,,00000071__,8.82,02,,01,04,02,01,01,01,04,,20,FE,N,SUNSET AVE,,,,30,25,26,40.228000,74.009060,N,,
2020130320AP19009,MONMOUTH,ASBURY PARK CITY,08/21/2020,FR,1802,01,ASBURY PARK PD,APPD,0,0,0,0,P,B,N,N,01,2,NJ 71,S,71,,00000071__,8.92,02,,01,04,02,01,01,01,,,100,FE,N,6TH AVE,,,,30,25,26,,,N,,83282
2020130320AP19020,MONMOUTH,ASBURY PARK CITY,08/21/2020,FR,1855,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,04,2,SPRINGWOOD AVE / W LAKE AVE **,W,,,13341045__,1.40,07,,01,04,02,01,01,01,04,01,40,FE,W,CR 40A / MEMORIAL DR,,,,35,,26,,,N,,83280
2020130320AP19060,MONMOUTH,ASBURY PARK CITY,08/22/2020,SA,0548,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,EMORY ST / PRESS PLAZA **,N,,,13031037__,.40,07,,01,04,02,01,07,01,05,01,75,FE,S,FIRST AVE,,,,25,25,26,40.220220,74.008670,N,,83266
2020130320AP19165,MONMOUTH,ASBURY PARK CITY,08/23/2020,SU,0728,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,SPRINGWOOD AVE / W LAKE AVE **,W,,,13341045__,1.14,07,,01,04,02,01,01,01,04,01,15,FE,W,ATKINS AVE,,,,25,25,69,,,N,,83275
2020130320AP19195,MONMOUTH,ASBURY PARK CITY,08/23/2020,SU,1432,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,03,3,NJ 71,S,71,,00000071__,8.14,02,,01,04,02,01,01,01,04,01,,AT,,BANGS AVE,,,,30,25,28,,,N,,83204
2020130320AP19438,MONMOUTH,ASBURY PARK CITY,08/26/2020,WE,0136,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,99,1,2 ATKINS AVE; ASBURY PARK,,,,,,08,,,04,99,,06,01,,,,,,IN GRASS IN BETWEEN BLDG 11 & 12,,,,,,,40.213430,74.020860,N,,83229
2020130320AP19457,MONMOUTH,ASBURY PARK CITY,08/26/2020,WE,1042,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,MEMORIAL DR,S,,,13031009__,.15,07,,01,04,02,01,01,01,04,01,,AT,,2ND AVE,,,,30,25,,,,N,,83131
2020130320AP19464,MONMOUTH,ASBURY PARK CITY,08/26/2020,WE,1142,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,N,71,,00000071__,8.83,02,,01,04,02,01,01,01,05,01,,AT,,SUNSET AVE,,,,30,25,26,40.226950,74.009430,N,,83221
2020130320AP19572,MONMOUTH,ASBURY PARK CITY,08/27/2020,TH,1325,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,OCEAN AVE,W,,,13031088__,.38,07,,01,04,02,01,01,01,,01,7,FE,S,FIFTH AVE,,,,25,25,28,40.222920,73.999100,N,,83207
2020130320AP19668,MONMOUTH,ASBURY PARK CITY,08/28/2020,FR,1324,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,7TH AVE / SEVENTH AVE / STEINER PL **,W,,,13031018__,.00,07,,01,04,02,01,01,01,03,01,25,FE,W,OCEAN AVE,,,,25,25,26,,,N,,83272
2020130320AP20150,MONMOUTH,ASBURY PARK CITY,09/03/2020,TH,0831,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,MONMOUTH COUNTY 16,W,16,,13000016__,6.21,05,,01,04,02,01,01,01,05,,40,FE,W,NJ 71 / MAIN ST,,,,25,25,26,,,N,,83131
2020130320AP20188,MONMOUTH,ASBURY PARK CITY,09/03/2020,TH,1726,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,MUNROE AVE **,,,,13031016__,.30,07,,01,04,02,01,01,01,04,,10,FE,W,MEMORIAL DR,,,,25,30,26,40.219150,74.013600,N,,83278
2020130320AP20200,MONMOUTH,ASBURY PARK CITY,09/03/2020,TH,2055,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,MATTISON AVE **,E,,,13031070__,.00,07,,01,04,02,02,06,02,05,01,25,FE,E,NJ 71 / MAIN ST,,,,25,25,26,,,N,,83183
2020130320AP20253,MONMOUTH,ASBURY PARK CITY,09/04/2020,FR,1302,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,EIGHTH AVE **,W,,,13031022__,.36,07,,01,04,02,01,01,01,05,,15,FE,W,WEBB ST,,,,25,25,28,,,N,,83226
2020130320AP20276,MONMOUTH,ASBURY PARK CITY,09/04/2020,FR,1824,01,ASBURY PARK PD,APPD,0,0,0,0,P,I,N,N,01,2,SUMMERFIELD AVE **,N,,,13031055__,.33,07,,01,04,02,01,01,01,,,,AT,W,PROSEPECT AVE,,,,25,25,26,,,N,,83282
2020130320AP20338,MONMOUTH,ASBURY PARK CITY,09/05/2020,SA,1019,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,FOURTH AVE **,E,,,13031003__,1.14,07,,01,04,02,01,01,01,04,,,AT,,GRAND AVE,,,,25,25,26,,,N,,83289
2020130320AP20355,MONMOUTH,ASBURY PARK CITY,09/05/2020,SA,1326,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,FIRST AVE **,W,,,13031001__,1.00,07,,01,04,02,01,01,01,03,01,50,FE,W,KINGSLEY ST,,,,25,25,26,,,N,,83272
2020130320AP20378,MONMOUTH,ASBURY PARK CITY,09/05/2020,SA,1815,01,ASBURY PARK PD,APPD,0,0,0,0,P,I,N,N,03,2,MEMORIAL DR,E,,,13031009__,.47,07,,01,04,02,01,01,01,,,,AT,W,SUNSET AVE,,,,25,25,26,,,N,,282
2020130320AP20457,MONMOUTH,ASBURY PARK CITY,09/06/2020,SU,1547,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,LAKE AVE,E,,,13031085__,.34,07,,01,04,02,01,01,01,04,01,50,FE,E,GRAND AVE,,,,25,,26,40.215150,74.013400,N,,83219
2020130320AP20494,MONMOUTH,ASBURY PARK CITY,09/07/2020,MO,0055,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,FOURTH AVE **,W,,,13031080__,.01,07,,01,04,02,01,06,01,05,01,50,FE,W,OCEAN AVE,,,,25,25,28,,,N,,83291
2020130320AP20686,MONMOUTH,ASBURY PARK CITY,09/09/2020,WE,1112,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,OCEAN AVE,N,,,13031088__,.17,07,,01,04,02,01,01,05,05,01,125,FE,N,SECOND AVE,,,,25,25,28,40.221150,74.000140,N,,83221
2020130320AP20800,MONMOUTH,ASBURY PARK CITY,09/10/2020,TH,1425,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,MEMORIAL DR,N,,,13031009__,.47,07,,01,04,02,01,01,01,05,01,,AT,,SUNSET AVE,,,,30,25,26,40.227220,74.010720,N,,83207
2020130320AP20809,MONMOUTH,ASBURY PARK CITY,09/13/2020,SU,2337,01,ASBURY PARK PD,APPD,0,0,0,0,P,B,N,N,06,2,FISHER PL / WASHINGTON AVE **,W,,,13031053__,.15,07,,01,04,02,00,00,00,,,15,FE,W,JERSEY ST,,,,25,25,26,,,N,,83282
2020130320AP20947,MONMOUTH,ASBURY PARK CITY,09/12/2020,SA,0757,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,7TH AVE / SEVENTH AVE / STEINER PL **,S,,,13031018__,.79,07,,01,04,02,01,01,01,05,01,,AT,,SUNSET AVE,,,,30,25,26,,,N,,83292
2020130320AP21016,MONMOUTH,ASBURY PARK CITY,09/12/2020,SA,1756,01,ASBURY PARK PD,PATROL DIVISION,0,1,0,1,I,I,N,N,13,1,MEMORIAL DR,N,,,13031009__,.22,07,,01,04,02,01,01,01,04,01,,AT,,3RD AVE,,,,30,25,22,40.223820,74.011940,N,,83287
2020130320AP21026,MONMOUTH,ASBURY PARK CITY,09/12/2020,SA,1953,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,05,5,BOND ST **,N,,,13031036__,.93,07,,01,04,02,01,06,01,05,01,,AT,,COOKMAN AVE,,,,25,,26,,,N,,83226
2020130320AP21046,MONMOUTH,ASBURY PARK CITY,09/12/2020,SA,2338,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,SUNSET AVE,W,,,13031365__,.01,07,,01,04,02,01,06,01,,,50,FE,W,OCEAN AVE,,,,25,25,28,,,N,,83286
2020130320AP21312,MONMOUTH,ASBURY PARK CITY,09/16/2020,WE,1056,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,3,MATTISON AVE **,E,,,13031070__,.12,07,,01,04,02,01,01,01,05,01,75,FE,W,DEWITT AVE,,,,25,25,28,40.217820,74.023070,N,,
2020130320AP21342,MONMOUTH,ASBURY PARK CITY,09/16/2020,WE,1702,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,03,2,3RD AVE / THIRD AVE **,W,,,13341033__,.92,07,,01,04,02,01,01,01,04,01,,AT,S,LANGFORD ST,,,,25,25,26,,,N,,83285
2020130320AP21385,MONMOUTH,ASBURY PARK CITY,09/17/2020,TH,0858,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,11,8,PARK AVE **,N,,,13031020__,.04,07,,01,04,02,01,01,05,05,01,200,FE,S,CR 71 / DEAL LAKE DR,,,,25,30,39,40.230210,74.001940,N,UTILITY POLES (BT1522AP) AND (JC22AP),
2020130320AP21467,MONMOUTH,ASBURY PARK CITY,09/18/2020,FR,0834,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,02,2,BANGS AVE,,,,13031083__,.38,07,,01,04,02,02,01,02,04,01,,AT,,PROSPECT AVE,,,,25,25,26,40.218820,74.018420,N,,83228
2020130320AP21559,MONMOUTH,ASBURY PARK CITY,09/19/2020,SA,0121,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,BANGS AVE,W,,,13031083__,.03,07,,01,04,02,01,07,01,05,01,20,FE,E,RIDGE AVE,,,,25,25,26,,,N,,83281
2020130320AP21571,MONMOUTH,ASBURY PARK CITY,09/19/2020,SA,1050,01,ASBURY PARK PD,,0,2,0,0,I,I,N,N,03,2,BOND ST **,E,,,13031036__,.55,07,,01,04,02,01,01,01,05,01,,AT,,FIRST AVE,,,,25,25,26,,,N,,83292
2020130320AP21574,MONMOUTH,ASBURY PARK CITY,09/19/2020,SA,0958,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,FOURTH AVE,W,,,,,07,,02,04,02,01,01,01,04,,,,,,,,,25,,26,40.226780,74.020160,N,,83291
2020130320AP21622,MONMOUTH,ASBURY PARK CITY,09/19/2020,SA,1817,01,ASBURY PARK PD,,0,1,0,0,I,B,N,N,03,2,LANGFORD ST **,N,,,13031010__,.30,07,,01,04,02,01,01,01,05,,10,FE,N,MUNROE AVE,,,,25,25,26,40.219500,74.015240,N,,83278
2020130320AP21713,MONMOUTH,ASBURY PARK CITY,09/20/2020,SU,1545,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,02,2,BOND ST **,S,,,13031036__,.83,07,,01,04,02,01,01,01,05,01,8,FE,S,BANGS AVE,,,,25,25,26,,,N,,83204
2020130320AP21886,MONMOUTH,ASBURY PARK CITY,09/22/2020,TU,1603,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,KINGSLEY ST,N,,,13031087__,.18,07,,01,04,02,01,01,01,05,,90,FE,N,7TH AVE,,,,25,25,26,,,N,,83226
2020130320AP21890,MONMOUTH,ASBURY PARK CITY,09/22/2020,TU,1616,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,NJ 71,S,71,,00000071__,8.36,02,,01,04,02,01,01,01,05,,70,FE,N,CR 16 / ASBURY AVE,,,,30,25,28,40.220860,74.011350,N,,83150
2020130320AP22094,MONMOUTH,ASBURY PARK CITY,09/24/2020,TH,1603,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,DEWITT AVE **,N,,,13031071__,.00,07,,01,04,02,01,01,01,05,01,20,FE,S,SUMMERFIELD AVE,,,,25,25,,,,N,,83131
2020130320AP22113,MONMOUTH,ASBURY PARK CITY,09/24/2020,TH,1830,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,PROSPECT AVE,S,,,,,07,,01,04,02,01,00,01,05,,,,S,,,,,25,,28,40.220580,74.020110,N,,83285
2020130320AP22151,MONMOUTH,ASBURY PARK CITY,09/25/2020,FR,1536,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,MONMOUTH COUNTY 16,,16,,13000016__,6.05,05,,01,04,02,01,01,01,05,01,50,FE,W,LANGFORD ST,,,,25,25,26,40.214860,74.015660,N,,83228
2020130320AP22191,MONMOUTH,ASBURY PARK CITY,09/25/2020,FR,1536,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,04,2,MONMOUTH COUNTY 40 A,S,40,A,13000040A_,.31,05,,01,04,02,01,01,01,04,01,,AT,W,SPRINGWOOD AVE,,,,30,25,26,40.214860,74.015660,N,,83228
