Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2018131918-44398-AC,MONMOUTH,HOWELL TWP,08/12/2018,SU,2338,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,LANES MILL RD,,,,,,07,,01,04,02,01,06,01,05,01,100,FE,W,US 9,,,,30,50,26,,,N,,661
2018131918-44439-AC,MONMOUTH,HOWELL TWP,08/13/2018,MO,0943,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,02,2,FIVE POINTS RD,S,,,13091141__,2.95,07,,01,04,02,02,01,02,05,01,25,FE,N,NJ 33,,,,45,50,26,,,N,,642
2018131918-44463-AC,MONMOUTH,HOWELL TWP,08/13/2018,MO,1053,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,11,1,US 9,N,9,,00000009__,105.28,02,,03,06,02,02,01,05,02,01,250,FE,N,NEW FRIENDSHIP RD,,,,50,30,62,,,N,FIRE HYDRANT / STOP SIGN - HOWELL TOWNSHIP - 9 HOWELL NJ 07731,189
2018131918-44468-AC,MONMOUTH,HOWELL TWP,08/13/2018,MO,1103,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,15,1,RAMTOWN GREENVILLE RD,,,,,,07,,02,04,02,06,01,02,05,01,250,FE,W,MARIA LN,,,,40,25,39,,,N,,677
2018131918-44476-AC,MONMOUTH,HOWELL TWP,08/13/2018,MO,1134,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,01,2,NJ 33,E,33,,00000033__,33.13,02,,01,04,02,01,01,05,05,01,100,FE,W,E SAN MARCO BLVD,,,,50,25,26,,,N,,606
2018131918-44511-AC,MONMOUTH,HOWELL TWP,08/13/2018,MO,1455,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,03,2,LANES MILL RD,,,,,,07,,01,04,02,01,01,01,05,01,500,FE,E,KENT RD,,,,40,40,26,,,N,,662
2018131918-44512-AC,MONMOUTH,HOWELL TWP,08/13/2018,MO,1456,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,06,2,86 YELLOWBROOK RD,,,,,,09,,01,04,02,01,01,01,,,,,,,,,,5,,28,,,N,,614
2018131918-44649-AC,MONMOUTH,HOWELL TWP,08/14/2018,TU,1056,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,03,2,US 9,S,9,,00000009__,106.32,02,,01,04,02,01,01,01,01,01,,AT,,ALDRICH RD,,,,50,40,26,,,N,,189
2018131918-44656-AC,MONMOUTH,HOWELL TWP,08/14/2018,TU,1121,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 549,,549,,00000549__,17.82,05,,01,04,02,01,01,01,05,01,,AT,,ROUTE 547 / FARMINGDALE LAKEWOOD RD,,,,45,45,26,,,N,,642
2018131918-4467-AC,MONMOUTH,HOWELL TWP,01/23/2018,TU,1720,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,,9,,00000009__,107.92,02,,01,04,02,01,05,01,01,01,75,FE,N,SUNNYSIDE RD,,,,50,40,26,,,N,,659
2018131918-44674-AC,MONMOUTH,HOWELL TWP,08/14/2018,TU,1309,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,02,2,SALEM HILL RD,W,,,,,07,,01,04,02,01,01,01,02,01,75,FE,E,US 9,,,,25,50,26,,,N,,189
2018131918-44912-AC,MONMOUTH,HOWELL TWP,08/15/2018,WE,1533,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,12,1,FRIENDSHIP RD,E,,,,,07,,01,04,02,01,01,01,,,,AT,,NEW FRIENDSHIP RD,,,,30,30,24,,,N,,680
2018131918-44942-AC,MONMOUTH,HOWELL TWP,08/15/2018,WE,1740,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,01,2,US 9,,9,,00000009__,107.05,02,,01,04,02,01,01,01,01,01,,AT,,I- 195,,,,50,65,26,,,N,,653
2018131918-44974-AC,MONMOUTH,HOWELL TWP,08/15/2018,WE,2002,01,HOWELL TWP PD,,0,2,0,0,I,B,N,N,03,2,US 9,S,9,,00000009__,104.07,02,,01,04,02,01,04,01,,01,,,,,,,,50,,26,,,N,,680
2018131918-44992-AC,MONMOUTH,HOWELL TWP,08/15/2018,WE,2208,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,11,1,ROUTE 524,,524,,00000524__,26.13,05,,01,04,02,01,06,01,,,,AT,,RUTLAND DR,,,,40,25,56,,,Y,,615
2018131918-45058-AC,MONMOUTH,HOWELL TWP,08/16/2018,TH,0834,01,HOWELL TWP PD,,0,1,0,0,I,I,N,N,07,2,US 9,S,9,,00000009__,106.32,02,,01,04,02,01,01,01,01,01,,AT,,ALDRICH RD,,,,50,40,26,,,N,,332
2018131918-45060-AC,MONMOUTH,HOWELL TWP,08/16/2018,TH,0849,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,02,2,NJ 33,,33,,00000033__,34.77,02,,01,04,02,01,01,01,03,01,,AT,,NJ 34,,,,50,50,26,,,N,,651
2018131918-45128-AC,MONMOUTH,HOWELL TWP,08/16/2018,TH,1224,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 524,S,524,,00000524__,26.42,05,,01,04,02,01,01,01,05,01,,AT,,HOWELL RD,,,,45,50,26,,,N,,195
2018131918-45146-AC,MONMOUTH,HOWELL TWP,08/16/2018,TH,1517,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,11,1,MAXIM RD,,,,,,07,,01,04,02,01,01,01,05,01,600,FE,W,ROUTE 547,,,,50,50,,,,N,,653
2018131918-45188-AC,MONMOUTH,HOWELL TWP,08/16/2018,TH,1938,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,99,1,ROUTE 524,E,524,,00000524__,29.98,05,,01,04,02,01,07,01,04,01,5,FE,N,WEST FARMS RD,,,,45,45,99,,,N,,669
2018131918-45214-AC,MONMOUTH,HOWELL TWP,08/16/2018,TH,2221,01,HOWELL TWP PD,,0,1,0,0,I,B,Y,N,10,1,LEMON RD,E,,,,,07,,02,04,02,01,06,01,05,01,500,FE,S,WEST FARMS RD,,,,45,40,01,,,N,,681
2018131918-45225-AC,MONMOUTH,HOWELL TWP,08/16/2018,TH,2351,01,HOWELL TWP PD,,0,2,0,0,I,I,N,N,03,2,WEST 1ST ST,,,,,,07,,01,04,02,01,05,01,05,01,,AT,,SHERRYBROOKE DR,,,,25,25,26,,,N,,668
2018131918-45430-AC,MONMOUTH,HOWELL TWP,08/18/2018,SA,0219,01,HOWELL TWP PD,,0,0,0,0,P,B,Y,N,11,1,VIENNA RD,N,,,,,07,,01,04,02,01,04,01,05,01,250,FE,N,OAK GLEN RD,,,,35,45,60,,,N,,680
2018131918-45501-AC,MONMOUTH,HOWELL TWP,08/18/2018,SA,1519,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,02,2,US 9,S,9,,00000009__,110.56,02,,01,04,02,01,01,01,01,01,1000,FE,N,STRICKLAND RD,,,,55,40,26,,,N,,655
2018131918-45533-AC,MONMOUTH,HOWELL TWP,08/18/2018,SA,1904,01,HOWELL TWP PD,,0,1,0,0,I,B,Y,N,11,1,OAK GLEN RD,N,,,13191081__,3.63,07,,01,04,02,01,01,01,05,,500,FE,N,MAXIM SOUTHARD RD,,,,40,40,52,,,N,TELEPHONE POLE #JC1924HL - JCPL - OAK GLEN RD HOWELL NJ 07731,644
2018131918-45542-AC,MONMOUTH,HOWELL TWP,08/18/2018,SA,2032,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,12,1,FIVE POINTS RD,,,,13091141__,2.45,07,,01,04,02,01,06,01,05,01,50,FE,S,PLANTATION DR,,,,40,25,24,,,N,,664
2018131918-45553-AC,MONMOUTH,HOWELL TWP,08/18/2018,SA,2231,01,HOWELL TWP PD,,0,1,0,0,I,I,N,N,14,1,ROUTE 524,,524,,00000524__,27.84,05,,01,04,02,01,07,01,05,01,,AT,,FAIRFIELD RD,,,,40,40,26,,,N,,653
2018131918-4560-AC,MONMOUTH,HOWELL TWP,01/24/2018,WE,0651,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,WYCKOFF MILLS RD,N,,,,,07,,01,04,02,01,03,01,05,01,35,FE,S,ROUTE 524,,,,35,40,26,,,N,,197
2018131918-45618-AC,MONMOUTH,HOWELL TWP,08/19/2018,SU,1205,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,NJ 34,S,34,,00000034__,8.76,02,,01,04,02,02,01,02,,01,20,FE,E,NJ 33,,,,50,50,26,,,N,,669
2018131918-45635-AC,MONMOUTH,HOWELL TWP,08/19/2018,SU,1542,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,02,2,LANES MILL RD,,,,,,07,,01,04,02,01,01,01,04,01,,AT,,US 9,,,,40,50,26,,,N,,652
2018131918-45639-AC,MONMOUTH,HOWELL TWP,08/19/2018,SU,1635,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,01,2,US 9,N,9,,00000009__,108.67,02,,01,04,02,02,01,01,02,01,15,FE,S,WEST FARM RD,,,,55,40,26,,,N,,674
2018131918-45771-AC,MONMOUTH,HOWELL TWP,08/20/2018,MO,1358,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,01,2,US 9,E,9,,00000009__,107.17,02,,03,04,02,01,01,01,05,01,300,FE,W,GEORGIA TAVERN RD / HULSE RD,,,,25,40,26,,,N,,624
2018131918-4581-AC,MONMOUTH,HOWELL TWP,01/24/2018,WE,0819,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,NJ 33,E,33,,00000033__,33.38,02,,01,04,02,01,01,01,05,01,100,FE,W,CR 35 / COLTS NECK RD,,,,50,45,26,,,N,,195
2018131918-45834-AC,MONMOUTH,HOWELL TWP,08/20/2018,MO,2115,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,12,1,US 9,N,9,,00000009__,107.40,02,,01,04,02,01,06,01,01,,5,FE,N,E 5TH ST / W 5TH ST,,,,50,25,25,,,N,,674
2018131918-45838-AC,MONMOUTH,HOWELL TWP,08/20/2018,MO,2149,01,HOWELL TWP PD,PATROL,0,1,0,0,I,B,N,N,01,2,US 9,,9,,00000009__,104.01,02,,01,04,02,01,06,01,01,01,50,FE,N,ESTELLE LN,,,,50,25,26,,,N,,333
2018131918-45890-AC,MONMOUTH,HOWELL TWP,08/21/2018,TU,0719,01,HOWELL TWP PD,,0,3,0,0,I,I,N,N,03,3,OLD TAVERN RD,E,,,,,05,,01,04,02,01,01,01,05,01,,AT,,PREVENTORIUM RD,,,,40,45,26,,,N,,
2018131918-45967-AC,MONMOUTH,HOWELL TWP,08/21/2018,TU,1723,01,HOWELL TWP PD,,0,0,0,0,P,B,Y,N,11,1,OAK GLEN RD,S,,,13191081__,2.11,07,,01,04,02,01,01,01,05,01,500,FE,N,LANES POND RD,,,,45,40,52,,,N,POLE #JC1902HL - JERSEY CENTRAL POWER AND LIGHT - OAK GLEN RD HOWELL NJ 07731,660
2018131918-46078-AC,MONMOUTH,HOWELL TWP,08/22/2018,WE,1120,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,02,2,US 9,N,9,,00000009__,105.11,02,,01,04,02,01,01,01,05,01,50,FE,S,LOCUST AVE,,,,50,40,26,,,N,,
2018131918-46097-AC,MONMOUTH,HOWELL TWP,08/22/2018,WE,1414,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,06,2,MOUNT RAINER DR,N,,,,,07,,01,04,02,01,01,01,00,01,50,FE,S,SARAH LN,,,,25,25,28,,,N,,642
2018131918-46138-AC,MONMOUTH,HOWELL TWP,08/22/2018,WE,1746,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,4,ROUTE 547,S,547,,00000547__,13.94,05,,01,04,02,01,01,01,05,,500,FE,N,MAXIM RD,,,,50,45,26,,,N,,
2018131918-46239-AC,MONMOUTH,HOWELL TWP,08/23/2018,TH,0719,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,E ALDRICH RD,E,,,13191056__,1.85,07,,01,04,02,01,01,01,05,01,125,FE,W,BROOKSIDE DR,,,,40,25,26,,,N,,677
2018131918-46241-AC,MONMOUTH,HOWELL TWP,08/23/2018,TH,0757,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,E ALDRICH RD,E,,,13191056__,1.84,07,,01,04,02,01,01,01,05,01,150,FE,W,BROOKSIDE DR,,,,40,25,26,,,N,,677
2018131918-46255-AC,MONMOUTH,HOWELL TWP,08/23/2018,TH,0926,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,11,1,2464 9 SB,E,,,,,09,,01,04,02,01,01,01,05,01,,,,,,,,25,,69,,,N,WALLS OF STORAGE UNIT 138  136  AND CEMENT POLE - ISTORAGE - 2464 9SB HOWELL NJ?,677
2018131918-46321-AC,MONMOUTH,HOWELL TWP,08/23/2018,TH,1624,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,04,2,ROUTE 524 ALTERNATE,N,524,A,00000524A_,3.61,05,,03,04,02,01,01,01,05,01,775,FE,N,NEW CASTLE ST,,,,45,25,26,,,N,,629
2018131918-46392-AC,MONMOUTH,HOWELL TWP,08/24/2018,FR,0727,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,12,1,ROUTE 524,E,524,,00000524__,25.86,05,,01,04,02,01,01,01,05,01,250,FE,E,WYCKOFF MILLS RD,,,,40,35,24,,,N,,677
2018131918-46448-AC,MONMOUTH,HOWELL TWP,08/24/2018,FR,1337,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,02,2,NJ 33,E,33,,00000033__,34.80,02,,01,04,02,01,01,01,04,,10,FE,W,TINTON FALLS RD,,,,50,25,26,,,N,,674
2018131918-4647-AC,MONMOUTH,HOWELL TWP,01/24/2018,WE,1242,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,03,2,NEWTONS CORNER RD,W,,,,,07,,01,04,02,01,01,01,05,,,AT,,LAKEWOOD ALLENWOOD RD,,,,35,45,26,,,N,,616
2018131918-46696-AC,MONMOUTH,HOWELL TWP,08/25/2018,SA,2149,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,03,2,NJ 34,N,34,,00000034__,8.86,02,,01,04,02,01,06,01,05,01,528,FE,N,NJ 33,,,,50,50,26,,,N,,655
2018131918-46712-AC,MONMOUTH,HOWELL TWP,08/25/2018,SA,2349,01,HOWELL TWP PD,,0,0,0,0,P,B,Y,N,06,3,SALEM HILL RD,W,,,,,07,,01,05,02,01,06,01,03,,100,FE,E,NORTH LONGVIEW RD,,,,25,25,26,,,N,,
2018131918-4674-AC,MONMOUTH,HOWELL TWP,01/24/2018,WE,1411,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,01,2,US 9,,9,,00000009__,109.95,02,,01,04,02,01,01,01,01,01,,AT,,BERGERVILLE RD / CASINO DR,,,,55,40,26,,,N,,642
2018131918-46819-AC,MONMOUTH,HOWELL TWP,08/26/2018,SU,2044,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,06,2,LAKE DR,,,,,,07,,01,04,02,01,06,01,05,01,500,FE,E,ROBERT AVE,,,,25,25,28,,,N,,663
2018131918-46825-AC,MONMOUTH,HOWELL TWP,08/26/2018,SU,2220,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,11,1,HAVENS BRIDGE RD,,,,,,07,,01,04,02,01,05,01,05,01,500,FE,N,CASINO DR,,,,40,45,60,,,N,,678
2018131918-4684-AC,MONMOUTH,HOWELL TWP,01/24/2018,WE,1546,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,99,2,OLD TAVERN RD,N,,,,,07,,01,04,02,01,01,01,05,01,1000,FE,N,WINDELER RD,,,,40,40,30,,,N,,337
2018131918-46935-AC,MONMOUTH,HOWELL TWP,08/27/2018,MO,1603,01,HOWELL TWP PD,,0,1,0,0,I,I,N,N,03,2,E ALDRICH RD,W,,,13191056__,2.29,07,,01,04,02,01,01,01,05,01,,AT,,GLEN ARDEN DR / GLEN RD,,,,45,25,26,,,N,,662
2018131918-471-AC,MONMOUTH,HOWELL TWP,01/03/2018,WE,1045,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,03,2,LAKEWOOD ALLENWOOD RD,S,,,,,07,,01,04,02,01,01,01,05,01,,AT,,OAK GLEN RD,,,,50,45,26,,,N,,616
2018131918-47103-AC,MONMOUTH,HOWELL TWP,08/28/2018,TU,1124,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,02,2,ROUTE 547,N,547,,00000547__,15.33,05,,01,04,02,01,01,01,05,01,,AT,,ROUTE 524/524A/ALLAIRE RD/SQUANKUM-,,,,50,50,26,,,N,,623
2018131918-47148-AC,MONMOUTH,HOWELL TWP,08/28/2018,TU,1628,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,3,ROUTE 549,,549,,00000549__,17.82,05,,03,04,02,01,01,01,05,,500,FE,E,ROUTE 547 / FARMINGDALE LAKEWOOD RD,,,,40,50,26,,,N,,
2018131918-4725-AC,MONMOUTH,HOWELL TWP,01/24/2018,WE,2054,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,,9,,00000009__,104.52,02,,01,04,02,01,07,01,05,01,150,FE,N,LANES MILL RD,,,,50,40,26,,,N,,645
2018131918-47338-AC,MONMOUTH,HOWELL TWP,08/29/2018,WE,1428,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,03,2,NJ 33 BUSINESS,E,33,B,00000033B_,5.69,02,,01,04,02,01,01,01,05,01,1500,FE,W,OAKERSON RD,,,,50,35,26,,,N,,185
2018131918-47339-AC,MONMOUTH,HOWELL TWP,08/29/2018,WE,1445,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,,9,,00000009__,106.52,02,,01,04,02,01,01,01,01,,400,FE,N,REDWOOD RD,,,,50,25,26,,,N,,681
2018131918-47342-AC,MONMOUTH,HOWELL TWP,08/29/2018,WE,1524,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,01,2,4975 9 NB (PARKING LOT),W,,,,,09,,01,04,02,01,01,01,04,01,,AT,N,LANES MILL RD,,,,50,45,26,,,N,,332
2018131918-47346-AC,MONMOUTH,HOWELL TWP,08/29/2018,WE,1537,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,03,2,GEORGIA TAVERN RD,,,,13191073__,1.00,07,,01,04,02,01,01,01,05,,,AT,,LEMON ROAD,,,,40,45,26,,,N,,333
2018131918-47472-AC,MONMOUTH,HOWELL TWP,08/30/2018,TH,0822,01,HOWELL TWP PD,,0,1,0,0,I,I,N,N,07,2,LANES MILL RD **,S,,,13191078__,.96,07,,01,04,02,01,01,01,05,01,,AT,,MAXIM SOUTHARD RD,,,,45,40,26,,,N,,185
2018131918-47507-AC,MONMOUTH,HOWELL TWP,08/30/2018,TH,1035,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,NJ 33,W,33,,00000033__,32.13,02,,01,04,02,01,01,01,05,01,25,FE,E,YELLOW BROOK RD,,,,50,45,26,,,N,,195
2018131918-47608-AC,MONMOUTH,HOWELL TWP,08/30/2018,TH,1959,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,08,2,361 GEORGIA TAVERN RD,S,,,,,09,,01,04,02,01,00,01,05,01,,,,,,,,45,,26,,,N,,680
2018131918-47630-AC,MONMOUTH,HOWELL TWP,08/30/2018,TH,2320,01,HOWELL TWP PD,,0,1,0,0,I,B,Y,N,01,3,US 9,,9,,00000009__,106.71,02,,01,04,02,01,06,01,01,01,10,FE,N,STANLEY BLVD,,,,50,25,26,,,N,,
2018131918-47648-AC,MONMOUTH,HOWELL TWP,08/31/2018,FR,0205,01,HOWELL TWP PD,,0,0,0,0,P,B,Y,N,13,1,NJ 33,,33,,00000033__,33.21,02,,01,04,02,01,06,01,05,01,1000,FE,W,CR 35 / COLTS NECK RD,,,,50,40,22,,,N,,179
2018131918-47677-AC,MONMOUTH,HOWELL TWP,08/31/2018,FR,0753,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,10,1,NJ 34,N,34,,00000034__,8.95,02,,01,04,02,02,01,02,03,01,750,FE,N,NJ 33,,,,50,50,01,,,N,,195
2018131918-47680-AC,MONMOUTH,HOWELL TWP,08/31/2018,FR,0809,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,03,2,NJ 33,,33,,00000033__,34.80,02,,01,04,02,02,01,02,03,01,10,FE,N,TINTON FALLS RD,,,,50,25,26,,,N,,651
2018131918-47904-AC,MONMOUTH,HOWELL TWP,09/01/2018,SA,1143,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,14,1,US 9,,9,,00000009__,108.58,02,,01,04,02,01,01,01,01,01,500,FE,S,WEST FARM RD,,,,50,40,21,,,N,,677
2018131918-47946-AC,MONMOUTH,HOWELL TWP,09/01/2018,SA,1823,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,10,1,BRICKYARD RD **,S,,,13191043__,1.22,07,,03,04,02,01,01,01,05,01,5280,FE,S,BUCKALEW RD,,,,40,40,,,,N,,655
2018131918-47960-AC,MONMOUTH,HOWELL TWP,09/01/2018,SA,2046,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,01,3,US 9,,9,,00000009__,105.22,02,,01,04,02,01,06,01,01,01,30,FE,S,NEW FRIENDSHIP RD,,,,50,40,26,,,N,,674
2018131918-4799-AC,MONMOUTH,HOWELL TWP,01/25/2018,TH,0601,01,HOWELL TWP PD,HOWELL PD,0,0,0,0,P,I,N,N,01,2,US 9,,9,,00000009__,109.95,02,,01,04,02,01,02,01,01,01,,AT,,BERGERVILLE RD / CASINO DR,,,,55,45,26,,,N,,649
2018131918-48062-AC,MONMOUTH,HOWELL TWP,09/02/2018,SU,0910,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,,9,,00000009__,106.71,02,,01,04,02,01,01,01,01,01,20,FE,W,STANLEY BLVD,,,,50,40,26,,,N,,669
2018131918-48105-AC,MONMOUTH,HOWELL TWP,09/02/2018,SU,1237,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,08,2,LEXINGTON RD **,N,,,13191018__,.00,07,,01,04,02,01,01,01,05,01,200,FE,W,CHATHAM DR,,,,25,25,26,,,N,,660
2018131918-48123-AC,MONMOUTH,HOWELL TWP,09/02/2018,SU,1325,01,HOWELL TWP PD,,0,1,0,0,I,B,N,N,03,2,US 9,S,9,,00000009__,103.22,02,,01,04,02,01,01,01,05,01,40,FE,S,FORD RD,,,,50,40,26,,,N,,660
2018131918-48146-AC,MONMOUTH,HOWELL TWP,09/02/2018,SU,1620,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,11,1,E ALDRICH RD,E,,,13191056__,.00,07,,03,05,02,01,01,01,05,01,1500,FE,W,WINDLER RD,,,,40,40,,,,N,,655
2018131918-48152-AC,MONMOUTH,HOWELL TWP,09/02/2018,SU,1725,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,01,2,LAKEWOOD-ALLENWOOD RD,W,,,13191100__,.45,07,,01,04,02,01,01,01,05,01,,AT,,ARNOLD BLVD,,,,45,45,26,,,N,,662
2018131918-48179-AC,MONMOUTH,HOWELL TWP,09/02/2018,SU,2025,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,06,2,SALLY ST **,N,,,13191615__,.00,07,,01,04,02,01,06,01,05,01,250,FE,S,LAKEWOOD ALLENWOOD RD,,,,25,45,28,,,N,,662
2018131918-48245-AC,MONMOUTH,HOWELL TWP,09/03/2018,MO,1101,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,,9,,00000009__,105.26,02,,01,04,02,01,01,01,01,01,150,FE,N,NEW FRIENDSHIP RD,,,,50,30,26,,,N,,677
2018131918-48256-AC,MONMOUTH,HOWELL TWP,09/03/2018,MO,1242,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,02,2,NJ 33,,33,,00000033__,34.77,02,,01,04,02,01,01,01,03,01,,AT,,NJ 34,,,,50,50,26,,,N,,675
2018131918-48274-AC,MONMOUTH,HOWELL TWP,09/03/2018,MO,1615,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,NJ 33,W,33,,00000033__,34.86,02,,01,05,02,01,01,01,01,01,500,FE,E,NJ 34,,,,50,50,26,,,N,,655
2018131918-48279-AC,MONMOUTH,HOWELL TWP,09/03/2018,MO,1646,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,01,2,OAK GLEN RD,N,,,13191081__,.10,07,,01,04,02,01,01,01,05,01,,AT,,RANDOLPH RD,,,,45,50,26,,,N,,677
2018131918-48282-AC,MONMOUTH,HOWELL TWP,09/03/2018,MO,1715,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,,9,,00000009__,105.65,02,,01,04,02,01,01,01,01,01,300,FE,N,FRIENDSHIP RD,,,,50,40,26,,,N,,652
2018131918-48288-AC,MONMOUTH,HOWELL TWP,09/03/2018,MO,1835,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,US 9,N,9,,00000009__,108.67,02,,01,04,02,01,01,01,01,01,10,FE,S,WEST FARM RD,,,,50,40,26,,,N,,624
2018131918-48366-AC,MONMOUTH,HOWELL TWP,09/04/2018,TU,0814,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,11,1,MAXIM SOUTHARD RD **,S,,,13191084__,1.48,07,,01,04,02,01,01,01,05,01,500,FE,S,AMANDA LN,,,,45,25,52,,,N,POLE BT1756HL - VERIZON - - FREEHOLD NJ,185
2018131918-48440-AC,MONMOUTH,HOWELL TWP,09/04/2018,TU,1533,01,HOWELL TWP PD,,0,2,0,0,I,I,N,N,03,2,US 9,,9,,00000009__,104.00,02,,01,04,02,01,01,01,01,01,,AT,,ESTELLE LN,,,,50,25,26,,,N,,652
2018131918-48485-AC,MONMOUTH,HOWELL TWP,09/11/2018,TU,1412,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,,2,NEWBURY RD **,W,,,13191035__,.67,07,,01,04,02,01,05,05,05,01,100,FE,W,TAUNTON DR,,,,25,25,28,,,N,,185
2018131918-48542-AC,MONMOUTH,HOWELL TWP,09/05/2018,WE,0751,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,02,2,CRANBERRY RD,N,,,,,07,,01,04,02,01,01,01,05,01,75,FE,N,WEST RENAISSANCE BLVD,,,,45,15,26,,,N,,195
2018131918-48616-AC,MONMOUTH,HOWELL TWP,09/05/2018,WE,1453,01,HOWELL TWP PD,,0,0,0,0,P,B,N,N,01,2,WEST FARMS RD,W,,,,,07,,01,04,02,01,01,01,,,50,FE,E,MIDLAND BLVD,,,,40,25,26,,,N,,644
2018131918-48747-AC,MONMOUTH,HOWELL TWP,09/06/2018,TH,0827,01,HOWELL TWP PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 547,,547,,00000547__,14.67,05,,01,04,02,01,01,01,05,01,,AT,,CR 21/ROUTE 549/HERBERTSVILLE RD/OL,,,,45,45,26,,,N,,648
